name,configuration,latitude,longitude
TA514/945NO,U9,"41,232361","44,979335"
TA515,G9+U9+U21+L8+L18,"41,18731","45,0025"
TA516,U9+U21+L8,"41,28127","44,81043"
TA517,U9+L8,"40,72034","45,05735"
TA519,U9+U21,"40,802196","44,893376"
TA520,U9+L8,"40,72315","45,09008"
TA521,U21,"40,987643","45,209274"
TA522,U21,"40,99262","45,1448"
TA523,G9+U9+L8+L18,"40,773161","44,97605"
TA525,G9+U21+L8+L18,"41,24245","44,81972"
TA527,U9,"40,73791","45,02337"
TA529,U21+L8+L18,"41,18535","44,971993"
TA530,U21,"41,13548","45,123075"
TA531,U21,"40,87807","45,14249"
TA537,U21+L8+L18,"41,205604","44,996204"
TA539,U9+U21+L8+L18,"41,18713","44,89905"
TA543,U21,"40,914818","45,079438"
TA550,G9+U9+U21+L8+L18,"40,883886","45,392082"
TA553,G9+U9+U21+L8+L18,"40,835167","45,470222"
TA554,G9+U9+U21+L8,"40,937817","45,382541"
TA555,G9+U9+U21+L8+L18,"40,850889","45,5485"
TA556,G9+U9+U21+L8+L18,"40,887311","45,452218"
TA557,pure transmission,,
TA560,G9+U9+U21+L8,"40,86321","45,33366"
TA567,U21+L8+L18,"41,015361","45,12511"
TA601,G9+U9+L8,"40,69509","44,84091"
TA602,U9,"40,653535","44,892164"
VA001,G9+U9+U21+L8,"39,792662","45,105193"
VA002,G9+U9+U21+L8+L18,"39,727381","45,181965"
VA003,G9+U9+U21+L8+L18,"39,771354","45,332379"
VA004,G9+U9+U21+L8+L18,"39,75157","45,33747"
VA005,G9+U9+U21+L8+L18,"39,73896","45,39953"
VA006,G9+U9+U21+L8+L18,"39,68649","45,460374"
VA007,U9,,
VA008,G9+U9+L8,"39,69653","45,58718"
VA009,G9+U9+U21+L8,"39,72336","45,64297"
VA010,U9+U21+L8,"39,826","45,294583"
VA011,U9+L8,"39,879669","45,275639"
VA012,G9+U9+L8,"39,87622","45,34239"
VA013,U9+L8,"39,868761","45,431019"
VA014,G9+U9+U21+L8,"39,764009","45,615109"
VA015,G9+U9+U21+L8+L18,"39,813889","45,671806"
VA016,G9+U9+U21+L8+L18,"39,83578","45,670822"
VA017,G9+U9+U21+L8,"39,751206","45,296291"
VA018,G9+U9+U21+L8,"39,63033","45,49596"
VA019,G9+U9+U21+L8,"39,566566","45,504327"
VA020,G9+U9+U21+L8,"39,547742","45,411717"
VA022,U9+L8,"39,805806","45,533556"
VA024,U9,"39,78135","45,35859"
VA025,U9+L8,"39,692646","45,673327"
VA026,G9+U9+L8+L18,"39,782017","45,226406"
VA027,U9+L8+L18,"39,786545","45,647966"
VA028,U9,"39,603819","45,501381"
VA036,U9+L8,"39,693333","45,203139"
VA041,U21,"39,839161","45,665718"
VA050,U9,"39,68666","45,4933"
YE001,G9+U9+U21+L8+L18+L26,"40,114923","44,472462"
YE002,U9+U21,"40,216471","44,4729"
YE003,G9+U9+U21+L8+L18+L26,"40,121561","44,521866"
YE004,G9+U9+U21+L8+L18+L26,"40,12224","44,478731"
YE005,U9+U21+L18+L26,"40,168232","44,513705"
YE006,G9+U9+U21+L8+L18+L26,"40,125111","44,49725"
YE007,G9+U9+U21+L18+L26,"40,135684","44,538694"
YE008,G9+U9+U21+L8+L18+L26,"40,131216","44,523348"
YE009,G9+U9+U21+L8+L18+L26,"40,136845","44,448411"
YE010,G9+U9+U21,"40,134366","44,459024"
YE011,G9+U9+U21+L8+L18+L26,"40,13646","44,489492"
YE012,G9+U9+U21+L8+L18+L26,"40,138885","44,523141"
YE013,G9+U9+U21+L8+L18,"40,142972","44,431169"
YE014,G9+U9+U21+L8+L18+L26,"40,17459721","44,50193841"
YE015,G9+U9+U21,"40,143564","44,453023"
YE016,G9+U9+U21+L8+L18+L26,"40,141993","44,466324"
YE017,G9+U9+U21,"40,14375","44,477769"
YE018,G9+U21+L8+L18+L26,"40,144151","44,486876"
YE019,G9+U9+U21+L8+L18+L26,"40,143206","44,497178"
YE020,G9+U9+U21+L8+L18+L26,"40,145414","44,518588"
YE021,G9+U9+U21,"40,144171","44,529655"
YE022,G9+U9+U21+L8+L18+L26,"40,142917","44,540774"
YE023,G9+U9+U21+L8+L18+L26,"40,150851","44,493598"
YE024,G9+U9+U21,"40,15028","44,503959"
YE025,G9+U21+L18+L26,"40,149731","44,510292"
YE026,G9+U9+U21+L18+L26,"40,150806","44,532932"
YE027,G9+U9+U21+L8+L18,"40,152363","44,397874"
YE028,G9+U9+U21,"40,150622","44,436893"
YE029,G9+U9+U21+L8+L18+L26,"40,148583","44,456998"
YE030,G9+U9+U21+L8+L18+L26,"40,152052","44,482554"
YE031,G9+U9+U21+L8+L18+L26,"40,156064","44,477193"
YE032,G9+U9+U21,"40,157631","44,516576"
YE033,G9+U9+U21,"40,157658","44,487091"
YE034,G9+U9+U21+L8+L18+L26,"40,156294","44,509199"
YE035,G9+U9+U21+L18+L26,"40,15974","44,527622"
YE037,G9+U9+U21+L8+L18+L26,"40,188052","44,526533"
YE038,G9+U9+U21+L8+L18+L26,"40,160139","44,430417"
YE039,G9+U9+U21,"40,158362","44,442641"
YE040,G9+U9+U21+L8+L18+L26,"40,157302","44,450327"
YE041,G9+U9+U21,"40,157331","44,464784"
YE042,G9+U9+U21+L8+L18,"40,157715","44,500148"
YE043,G9+U9+U21+L8+L18+L26,"40,164154","44,444238"
YE044,G9+U9+U21+L8+L18+L26,"40,163762","44,513268"
YE045,G9+U9+U21+L18+L26,"40,164449","44,520226"
YE046,G9+U9+U21+L8+L18+L26,"40,193306","44,504611"
YE047,G9+U9+U21+L8+L18,"40,16476","44,401153"
YE048,G9+U9+U21+L8+L18,"40,164937","44,415351"
YE049,G9+U9+U21,"40,172287","44,464643"
YE050,G9+U9+U21,"40,163622","44,485191"
YE051,G9+U9+U21+L8+L18,"40,163031","44,504442"
YE052,G9+U9+U21+L8+L18+L26,"40,1715294","44,43982077"
YE053,G9+U9+U21+L8+L18+L26,"40,17095","44,454424"
YE054,G9+U9+U21+L8+L18+L26,"40,170389","44,507194"
YE055,G9+U9+U21+L18+L26,"40,170141","44,519869"
YE056,G9+U9+U21,"40,168861","44,526291"
YE057,G9+U9+U21+L26,"40,165363","44,543613"
YE058,G9+U9+U21+L8+L18+L26,"40,172033","44,560586"
YE059,G9+U9+U21+L18+L26,"40,175724","44,461785"
YE060,G9+U9+U21+L8+L18+L26,"40,170134","44,490465"
YE061,G9+U9+U21,"40,177644","44,444774"
YE062,G9+U9+U21+L8+L18+L26,"40,175166","44,508582"
YE063,G9+U9+U21+L8+L18+L26,"40,178764","44,513944"
YE064,G9+U9+U21+L8+L18+L26,"40,17675","44,520917"
YE065,G9+U9+U21+L8+L18+L26,"40,175711","44,541536"
YE066,G9+U9+U21+L18+L26,"40,176382","44,562367"
YE067,G9+U9+U21,"40,175991","44,573339"
YE068,G9+U9+U21+L8+L18+L26,"40,182","44,446528"
YE069,G9+U9+U21,"40,179924","44,454411"
YE070,G9+U9+U21,"40,175489","44,485512"
YE071,G9+U9+U21+L8+L18+L26,"40,182025","44,575205"
YE072,G9+U9+U21+L18+L26,"40,181186","44,498531"
YE073,G9+U9+U21+L8+L18+L26,"40,181242","44,509443"
YE074,G9+U9+U21+L8+L18+L26,"40,183483","44,519634"
YE075,G9+U9+U21+L18+L26,"40,183417","44,525449"
YE076,U9+U21,"40,179064","44,525068"
YE077,G9+U21,"40,182075","44,566806"
YE078,G9+U9+U21+L18+L26,"40,21202","44,513992"
YE079,G9+U9+U21,"40,193379","44,47283"
YE080,U9+U21+L18+L26,"40,187483","44,510713"
YE081,G9+U9+U21+L8+L18+L26,"40,190573","44,513052"
YE082,G9+U9+U21,"40,189783","44,522257"
YE083,G9+U9+U21+L8+L18+L26,"40,186694","44,534972"
YE084,G9+U9+U21+L18+L26,"40,189917","44,544412"
YE085,G9+U9+U21,"40,188494","44,57769"
YE086,G9+U9+U21,"40,188692","44,589267"
YE087,G9+U9+U21,"40,188094","44,463778"
YE088,G9+U9+U21+L8+L18,"40,189498","44,561848"
YE089,G9+U9+U21,"40,190458","44,567974"
YE090,G9+U9+U21,"40,1862","44,59886"
YE091,G9+U9+U21+L8+L18+L26,"40,197356","44,467794"
YE092,G9+U9+U21+L18+L26,"40,19521","44,489369"
YE093,G9+U9+U21+L8+L18,"40,194654","44,498208"
YE094,G9+U9+U21,"40,197091","44,519127"
YE095,G9+U21+L18+L26,"40,199828","44,558609"
YE096,U9+U21+L18+L26,"40,195433","44,568506"
YE097,G9+U9+U21+L8+L18+L26,"40,185917","44,515111"
YE098,U9+U21,"40,204144","44,507233"
YE099,G9+U9+U21+L18+L26,"40,198637","44,528257"
YE100,G9+U9+U21+L8,"40,19325","44,544972"
